,site1,site2,value
0,"('พระนคร', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
1,"('พระนคร', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
2,"('พระนคร', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
3,"('พระนคร', 'กรุงเทพมหานคร')","('พญาไท', 'กรุงเทพมหานคร')",1
4,"('พระนคร', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
5,"('พระนคร', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
6,"('พระนคร', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
7,"('พระนคร', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
8,"('พระนคร', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
9,"('พระนคร', 'กรุงเทพมหานคร')","('บางกอกใหญ่', 'กรุงเทพมหานคร')",1
10,"('พระนคร', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
11,"('พระนคร', 'กรุงเทพมหานคร')","('ตลิ่งชัน', 'กรุงเทพมหานคร')",1
12,"('พระนคร', 'กรุงเทพมหานคร')","('บางกอกน้อย', 'กรุงเทพมหานคร')",1
13,"('พระนคร', 'กรุงเทพมหานคร')","('ภาษีเจริญ', 'กรุงเทพมหานคร')",1
14,"('พระนคร', 'กรุงเทพมหานคร')","('บางพลัด', 'กรุงเทพมหานคร')",1
15,"('พระนคร', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
16,"('พระนคร', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
17,"('พระนคร', 'กรุงเทพมหานคร')","('บางกรวย', 'นนทบุรี')",1
18,"('ดุสิต', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
19,"('ดุสิต', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
20,"('ดุสิต', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
21,"('ดุสิต', 'กรุงเทพมหานคร')","('พญาไท', 'กรุงเทพมหานคร')",1
22,"('ดุสิต', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
23,"('ดุสิต', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
24,"('ดุสิต', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
25,"('ดุสิต', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
26,"('ดุสิต', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
27,"('ดุสิต', 'กรุงเทพมหานคร')","('บางกอกใหญ่', 'กรุงเทพมหานคร')",1
28,"('ดุสิต', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
29,"('ดุสิต', 'กรุงเทพมหานคร')","('บางกอกน้อย', 'กรุงเทพมหานคร')",1
30,"('ดุสิต', 'กรุงเทพมหานคร')","('บางพลัด', 'กรุงเทพมหานคร')",1
31,"('ดุสิต', 'กรุงเทพมหานคร')","('ดินแดง', 'กรุงเทพมหานคร')",1
32,"('ดุสิต', 'กรุงเทพมหานคร')","('บางซื่อ', 'กรุงเทพมหานคร')",1
33,"('ดุสิต', 'กรุงเทพมหานคร')","('จตุจักร', 'กรุงเทพมหานคร')",1
34,"('ดุสิต', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
35,"('ดุสิต', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
36,"('ดุสิต', 'กรุงเทพมหานคร')","('เมืองนนทบุรี', 'นนทบุรี')",1
37,"('ดุสิต', 'กรุงเทพมหานคร')","('บางกรวย', 'นนทบุรี')",1
38,"('บางรัก', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
39,"('บางรัก', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
40,"('บางรัก', 'กรุงเทพมหานคร')","('บางรัก', 'กรุงเทพมหานคร')",1
41,"('บางรัก', 'กรุงเทพมหานคร')","('คลองเตย', 'กรุงเทพมหานคร')",1
42,"('บางรัก', 'กรุงเทพมหานคร')","('ปทุมวัน', 'กรุงเทพมหานคร')",1
43,"('บางรัก', 'กรุงเทพมหานคร')","('ป้อมปราบศัตรูพ่าย', 'กรุงเทพมหานคร')",1
44,"('บางรัก', 'กรุงเทพมหานคร')","('สัมพันธวงศ์', 'กรุงเทพมหานคร')",1
45,"('บางรัก', 'กรุงเทพมหานคร')","('ยานนาวา', 'กรุงเทพมหานคร')",1
46,"('บางรัก', 'กรุงเทพมหานคร')","('ธนบุรี', 'กรุงเทพมหานคร')",1
47,"('บางรัก', 'กรุงเทพมหานคร')","('ห้วยขวาง', 'กรุงเทพมหานคร')",1
48,"('บางรัก', 'กรุงเทพมหานคร')","('คลองสาน', 'กรุงเทพมหานคร')",1
49,"('บางรัก', 'กรุงเทพมหานคร')","('ดินแดง', 'กรุงเทพมหานคร')",1
50,"('บางรัก', 'กรุงเทพมหานคร')","('สาทร', 'กรุงเทพมหานคร')",1
51,"('บางรัก', 'กรุงเทพมหานคร')","('บางคอแหลม', 'กรุงเทพมหานคร')",1
52,"('บางรัก', 'กรุงเทพมหานคร')","('ราชเทวี', 'กรุงเทพมหานคร')",1
53,"('บางรัก', 'กรุงเทพมหานคร')","('วัฒนา', 'กรุงเทพมหานคร')",1
54,"('บางรัก', 'กรุงเทพมหานคร')","('พระประแดง', 'สมุทรปราการ')",1
55,"('พญาไท', 'กรุงเทพมหานคร')","('พระนคร', 'กรุงเทพมหานคร')",1
56,"('พญาไท', 'กรุงเทพมหานคร')","('ดุสิต', 'กรุงเทพมหานคร')",1
